positive,negative,not,degree-1,degree-2,degree-3,degree-4,degree-5,degree-6
揖,怒形於色,,,,,,,
依依不捨,怒叱,,,,,,,
依允,怕,,,,,,,
以期,怕生,,,,,,,
以求,怕羞,,,,,,,
意欲,拍案而起,,,,,,,
溢美,排揎,,,,,,,
引頸企待,徘徊,,,,,,,
引領,派不是,,,,,,,
應,旁敲側擊,,,,,,,
應承,抨,,,,,,,
應下,抨擊,,,,,,,
應許,批,,,,,,,
應允,批鬥,,,,,,,
應准,苶,,,,,,,
迎,皮裡陽秋,,,,,,,
迎候,屁滾尿流,,,,,,,
迎接,偏廢,,,,,,,
迎來,品頭論足,,,,,,,
迎迓,評頭論足,,,,,,,
擁,評頭品足,,,,,,,
擁戴,頗有微詞,,,,,,,
擁護,破口大罵,,,,,,,
詠贊,魄散魂飛,,,,,,,
用,迫不及待,,,,,,,
用心良苦,慼慼,,,,,,,
有心,戚然,,,,,,,
有意,七竅生煙,,,,,,,
俞允,悽惶,,,,,,,
愉,悽切,,,,,,,
愉快,悽然,,,,,,,
愉悅,悽酸,,,,,,,
欲,悽婉,,,,,,,
譽,悽怨,,,,,,,
願,悽惻,,,,,,,
願意,歧視,,,,,,,
躍躍欲試,騎虎難下,,,,,,,
悅,起疑心,,,,,,,
悅服,氣,,,,,,,
允,氣昂昂,,,,,,,
允許,氣不忿,,,,,,,
允准,氣不過,,,,,,,
在乎,氣不平,,,,,,,
在心,氣沖沖,,,,,,,
在意,氣衝牛斗,,,,,,,
贊,氣短,,,,,,,
贊成,氣忿,,,,,,,
贊服,氣忿忿,,,,,,,
讚美,氣憤,,,,,,,
贊慕,氣憤憤,,,,,,,
贊佩,氣鼓鼓,,,,,,,
讚賞,氣狠狠,,,,,,,
讚頌,氣哼哼,,,,,,,
讚歎,氣呼呼,,,,,,,
贊同,氣乎乎,,,,,,,
贊羨,氣急敗壞,,,,,,,
贊許,氣惱,,,,,,,
讚揚,氣餒,,,,,,,
讚譽,氣頭上,,,,,,,
沾沾自喜,氣洶洶,,,,,,,
照準,牽念,,,,,,,
折服,遷怒,,,,,,,
珍,譴,,,,,,,
珍愛,譴責,,,,,,,
珍視,歉然,,,,,,,
珍惜,歉甚,,,,,,,
珍重,瞧不起,,,,,,,
正中下懷,瞧不上,,,,,,,
支持,瞧不上眼,,,,,,,
知冷知熱,切齒,,,,,,,
知冷著熱,切齒痛恨,,,,,,,
知足,怯,,,,,,,
指靠,怯陣,,,,,,,
指望,輕,,,,,,,
志願,輕忽,,,,,,,
摯愛,輕看,,,,,,,
致賀,輕蔑,,,,,,,
致敬,輕視,,,,,,,
致謝,清算,,,,,,,
中意,窮極無聊,,,,,,,
鐘,饒,,,,,,,
鍾愛,饒人,,,,,,,
鍾情,饒恕,,,,,,,
重,惹氣,,,,,,,
重視,人身攻擊,,,,,,,
重在,忍讓,,,,,,,
矚目,柔腸百結,,,,,,,
矚望,柔腸寸斷,,,,,,,
主持,如泣如訴,,,,,,,
注,如喪考妣,,,,,,,
注意,如鯁在喉,,,,,,,
注重,辱罵,,,,,,,
祝,撒氣,,,,,,,
祝福,三心二意,,,,,,,
祝賀,喪膽,,,,,,,
祝頌,喪魂落魄,,,,,,,
祝願,喪氣,,,,,,,
抓,喪志,,,,,,,
抓緊,掃興,,,,,,,
准,殺氣,,,,,,,
准許,傻眼,,,,,,,
准予,傷,,,,,,,
著迷,傷悲,,,,,,,
著想,傷懷,,,,,,,
著眼,傷神,,,,,,,
著眼於,傷心,,,,,,,
自得,懾,,,,,,,
自得其樂,申斥,,,,,,,
自告奮勇,申討,,,,,,,
自滿,申飭,,,,,,,
自鳴得意,深惡痛絕,,,,,,,
自認,深以為異,,,,,,,
自願,聲討,,,,,,,
自足,生恐,,,,,,,
宗仰,生怕,,,,,,,
醉心,生氣,,,,,,,
尊,生疑,,,,,,,
尊崇,失悔,,,,,,,
尊敬,失節,,,,,,,
尊重,失神,,,,,,,
儐,失望,,,,,,,
僉同,失意,,,,,,,
跂望,使性子,,,,,,,
謳歌,示不滿,,,,,,,
謁,示不同意,,,,,,,
哿,示怒,,,,,,,
埽,勢成騎虎,,,,,,,
縈念,視同兒戲,,,,,,,
揄揚,視同螻蟻,,,,,,,
叩,首鼠兩端,,,,,,,
叩拜,受窘,,,,,,,
叩首,疏,,,,,,,
叩頭,數落,,,,,,,
噲,數說,,,,,,,
嘖嘖稱羨,恕,,,,,,,
嘖嘖稱讚,恕宥,,,,,,,
喁,說,,,,,,,
嗟,說不,,,,,,,
醊,說風涼話,,,,,,,
徼,說怪話,,,,,,,
夤,酸,,,,,,,
飫,酸楚,,,,,,,
廑,酸溜溜,,,,,,,
忮,縮頭縮腦,,,,,,,
忭,談虎色變,,,,,,,
忭躍,討,,,,,,,
怏然自足,討厭,,,,,,,
懌,提心吊膽,,,,,,,
怡然自得,啼笑皆非,,,,,,,
愷,體諒,,,,,,,
悚,體念,,,,,,,
愜,體惜,,,,,,,
愜意,體恤,,,,,,,
慊,天怒人怨,,,,,,,
憧憬,挑刺兒,,,,,,,
迓,挑毛病,,,,,,,
嬖,同病相憐,,,,,,,
綣,同情,,,,,,,
覬,痛,,,,,,,
覬覦,痛不欲生,,,,,,,
犒,痛斥,,,,,,,
犒勞,痛惡,,,,,,,
犒賞,痛恨,,,,,,,
臚,痛罵,,,,,,,
歆,痛惜,,,,,,,
歆慕,痛心,,,,,,,
歆羨,痛心疾首,,,,,,,
祀,痛責,,,,,,,
祗,投訴,,,,,,,
眄,兔死狐悲,,,,,,,
顒,頹,,,,,,,
鍾,頹廢,,,,,,,
鵠望,頹靡,,,,,,,
翊戴,頹然,,,,,,,
襝衽,頹喪,,,,,,,
酹,頹唐,,,,,,,
雩,唾罵,,,,,,,
侻,挖苦,,,,,,,
俶儻,玩,,,,,,,
僄,玩忽,,,,,,,
劼,玩世不恭,,,,,,,
嫕,惋,,,,,,,
惇,惋惜,,,,,,,
惓惓,萬箭穿心,,,,,,,
會,萬念俱灰,,,,,,,
牣,往心裡去,,,,,,,
皞,望而生畏,,,,,,,
挨邊,微慍,,,,,,,
哀婉,唯恐,,,,,,,
哀豔,惟恐,,,,,,,
藹,為難,,,,,,,
藹藹,萎靡,,,,,,,
藹然,委決不下,,,,,,,
藹然可親,委靡,,,,,,,
藹如,委屈,,,,,,,
艾,委罪,,,,,,,
礙事,畏,,,,,,,
安安靜靜,畏忌,,,,,,,
安安穩穩,畏懼,,,,,,,
安定,畏葸,,,,,,,
安頓,聞風喪膽,,,,,,,
安分,問心有愧,,,,,,,
安好,窩火,,,,,,,
安靜,窩囊,,,,,,,
安康,窩氣,,,,,,,
安瀾,窩心,,,,,,,
安樂,無地自容,,,,,,,
安寧,無精打采,,,,,,,
安全,無聊,,,,,,,
安然,無名火起,,,,,,,
安然無事,無視,,,,,,,
安然無恙,無所謂,,,,,,,
安如磐石,無心,,,,,,,
安如泰山,無意,,,,,,,
安生,物傷其類,,,,,,,
安適,惜,,,,,,,
安泰,系,,,,,,,
安恬,繫念,,,,,,,
安穩,戲侮,,,,,,,
安詳,下不來臺,,,,,,,
安逸,下不了臺,,,,,,,
安謐,銜恨,,,,,,,
按期,銜冤,,,,,,,
按時,嫌,,,,,,,
昂昂,嫌惡,,,,,,,
昂藏,嫌棄,,,,,,,
昂然,嫌厭,,,,,,,
傲然,嫌憎,,,,,,,
奧,想不開,,,,,,,
奧博,問罪,,,,,,,
奧妙,向隅,,,,,,,
巴結,向隅而泣,,,,,,,
拔尖,消沉,,,,,,,
拔尖兒,小看,,,,,,,
拔俗,小瞧,,,,,,,
把牢,小視,,,,,,,
把穩,笑罵,,,,,,,
把細,洩勁,,,,,,,
白,洩氣,,,,,,,
白紙黑字,心膽俱裂,,,,,,,
百不一失,心煩,,,,,,,
百讀不厭,心煩意亂,,,,,,,
百廢俱興,心寒,,,,,,,
百裡挑一,心灰意懶,,,,,,,
百鍊成鋼,心灰意冷,,,,,,,
百聽不厭,心急,,,,,,,
百無一失,心急火燎,,,,,,,
百依百順,心急如焚,,,,,,,
百折不回,心急如火,,,,,,,
百折不撓,心焦,,,,,,,
百折不撓地,心焦如焚,,,,,,,
闆闆正正,心驚膽顫,,,,,,,
板實,心驚膽戰,,,,,,,
板正,心驚肉跳,,,,,,,
半公開,心裡堵得慌,,,,,,,
半透明,心情沉重,,,,,,,
膀大腰圓,心如刀割,,,,,,,
膀闊腰圓,心如刀絞,,,,,,,
棒,心如死灰,,,,,,,
苞,心酸,,,,,,,
睆,心碎,,,,,,,
儲存良好,心疼,,,,,,,
保皇,心痛,,,,,,,
保險,心虛,,,,,,,
保準,心緒沉落,,,,,,,
飽學,心有餘悸,,,,,,,
寶,杏眼圓睜,,,,,,,
寶貴,羞,,,,,,,
悲壯,羞慚,,,,,,,
卑,羞答答,,,,,,,
倍兒棒,羞惡,,,,,,,
備細,羞窘,,,,,,,
奔放,羞愧,,,,,,,
本質,羞怯,,,,,,,
笨鳥先飛,羞人,,,,,,,
逼真,羞人答答,,,,,,,
筆挺,羞澀,,,,,,,
筆直,羞羞答答,,,,,,,
畢恭畢敬,羞於,,,,,,,
毖,羞臊,,,,,,,
閉月羞花,羞赧,,,,,,,
必備,虛驚,,,,,,,
必不可少,噓,,,,,,,
必需,恤,,,,,,,
必要,絮煩,,,,,,,
闢,懸,,,,,,,
鞭辟近裡,懸念,,,,,,,
鞭辟入裡,懸系,,,,,,,
便,懸心,,,,,,,
便當,訓斥,,,,,,,
便捷,訓戒,,,,,,,
便利,訓誡,,,,,,,
便民,訝,,,,,,,
便宜,訝然,,,,,,,
變通,訝然失色,,,,,,,
辯證,訝異,,,,,,,
標定,厭,,,,,,,
標緻,厭惡,,,,,,,
標準,厭煩,,,,,,,
彪炳,厭恨,,,,,,,
彪炳千古,厭倦,,,,,,,
彪炳史冊,厭膩,,,,,,,
彪悍,厭氣,,,,,,,
彪形,厭棄,,,,,,,
彪壯,搖擺,,,,,,,
表觀,要緊,,,,,,,
表裡如一,一怒之下,,,,,,,
表裡一致,一氣之下,,,,,,,
別具匠心,一怔,,,,,,,
別具一格,遺憾,,,,,,,
別開生面,疑,,,,,,,
別有風味,疑惑,,,,,,,
別有情趣,疑忌,,,,,,,
彬,疑慮,,,,,,,
彬彬,疑慮重重,,,,,,,
彬彬有禮,疑神疑鬼,,,,,,,
斌,抑鬱,,,,,,,
兵強馬壯,抑鬱寡歡,,,,,,,
冰肌玉骨,意意思思,,,,,,,
冰清玉潔,義憤,,,,,,,
冰雪聰明,義憤填膺,,,,,,,
秉持公正,異,,,,,,,
秉公,陰鬱,,,,,,,
秉正,引咎,,,,,,,
秉直,引咎自責,,,,,,,
炳,隱憂,,,,,,,
並茂,幽憂,,,,,,,
波光粼粼,憂,,,,,,,
波瀾壯闊,憂愁,,,,,,,
博大,憂煩,,,,,,,
博大精深,憂憤,,,,,,,
博古通今,憂懼,,,,,,,
博識,憂慮,,,,,,,
博聞,憂悶,,,,,,,
博聞廣識,憂傷,,,,,,,
博聞強記,憂思,,,,,,,
博學,憂心,,,,,,,
博學多才,憂心如焚,,,,,,,
博學多能,憂心忡忡,,,,,,,
博學多聞,憂鬱,,,,,,,
博雅,憂怨,,,,,,,
勃,憂悒,,,,,,,
勃勃,猶疑,,,,,,,
勃勃生機,猶豫,,,,,,,
不卑不亢,油煎火燎,,,,,,,
不變,遊移,,,,,,,
不恥下問,有愧,,,,,,,
不錯,於心有愧,,,,,,,
不大不小,虞,,,,,,,
不大離兒,鬱,,,,,,,
不憚其煩,鬱悶,,,,,,,
不動搖,鬱鬱不樂,,,,,,,
不費吹灰之力,鬱鬱寡歡,,,,,,,
不費力,欲哭無淚,,,,,,,
不苟,讋,,,,,,,
不苟言笑,原,,,,,,,
不含糊,原諒,,,,,,,
不會腐敗,原宥,,,,,,,
不會弄錯,怨,,,,,,,
不加區別,怨恨,,,,,,,
不加掩飾,怨悔,,,,,,,
不加渲染,怨聲載道,,,,,,,
不簡單,怨天尤人,,,,,,,
不驕不躁,在乎,,,,,,,
不咎既往,糟心,,,,,,,
不亢不卑,責,,,,,,,
不可或缺,責備,,,,,,,
不可缺,責斥,,,,,,,
不可缺少,責怪,,,,,,,
不賴,責罵,,,,,,,
不離兒,責難,,,,,,,
不落俗套,責怨,,,,,,,
不落窠臼,憎,,,,,,,
不難,憎惡,,,,,,,
不偏不倚,憎恨,,,,,,,
不屈,咋舌,,,,,,,
不屈不撓,炸,,,,,,,
不容懷疑,瞻前顧後,,,,,,,
不容置辯,戰兢兢,,,,,,,
不容置疑,戰戰兢兢,,,,,,,
不俗,張口結舌,,,,,,,
不同凡響,找茬,,,,,,,
不同尋常,找茬兒,,,,,,,
不為已甚,找碴,,,,,,,
不畏艱險,找碴兒,,,,,,,
不無道理,找岔子,,,,,,,
不無小補,鍼砭,,,,,,,
不無裨益,震,,,,,,,
不武斷,震驚,,,,,,,
不限,震怒,,,,,,,
不懈,震悚,,,,,,,
不懈怠,睜一眼閉一眼,,,,,,,
不洩氣,睜一隻眼閉一隻眼,,,,,,,
不言而喻,睜隻眼閉隻眼,,,,,,,
不厭其煩,怔,,,,,,,
不厭其詳,怔神兒,,,,,,,
不在話下,怔怔,,,,,,,
不爭,怔住,,,,,,,
不整齊,怔忪,,,,,,,
不知疲倦,直眉瞪眼,,,,,,,
部優,指斥,,,,,,,
才高八斗,指雞罵狗,,,,,,,
才華橫溢,指桑罵槐,,,,,,,
才略過人,指責,,,,,,,
才氣橫溢,指摘,,,,,,,
才思敏捷,置疑,,,,,,,
財大氣粗,置於腦後,,,,,,,
慘淡,置之不顧,,,,,,,
慘烈,置之不理,,,,,,,
燦,置之度外,,,,,,,
燦爛,置之腦後,,,,,,,
燦爛奪目,質疑,,,,,,,
燦亮,滯呆,,,,,,,
燦然,周恤,,,,,,,
蒼鬱,咒,,,,,,,
纏綿,咒罵,,,,,,,
昌,咒詛,,,,,,,
昌明,抓瞎,,,,,,,
常,椎心泣血,,,,,,,
常規,追悔,,,,,,,
長,追悔莫及,,,,,,,
長治久安,著急,,,,,,,
敞開,著忙,,,,,,,
敞開兒,自暴自棄,,,,,,,
敞口,自慚形穢,,,,,,,
敞亮,自咎,,,,,,,
暢達,自疚,,,,,,,
暢順,自餒,,,,,,,
超拔,自怨自艾,,,,,,,
超塵拔俗,自責,,,,,,,
超等,詛,,,,,,,
超凡入聖,詛罵,,,,,,,
超凡脫俗,詛咒,,,,,,,
超級,左右兩難,,,,,,,
超絕,左右為難,,,,,,,
超群,做賊心虛,,,,,,,
超群絕倫,作難,,,,,,,
超俗,作色,,,,,,,
超俗絕世,倥,,,,,,,
超逸,訕訕,,,,,,,
超卓,訶,,,,,,,
朝氣勃勃,詰,,,,,,,
朝氣蓬勃,詬,,,,,,,
車水馬龍,詬病,,,,,,,
澈,誚,,,,,,,
沉寂,誒,,,,,,,
沉靜,誶,,,,,,,
沉穩,謫,,,,,,,
沉毅,矍,,,,,,,
沉魚落雁,芴,,,,,,,
沉著,菀,,,,,,,
稱身,葸,,,,,,,
成,奚落,,,,,,,
成器,奚幸,,,,,,,
成趣,尷尬,,,,,,,
成熟,挹,,,,,,,
澄,掎,,,,,,,
澄碧,掊,,,,,,,
澄澈,掊擊,,,,,,,
澄淨,摭,,,,,,,
澄明,擼,,,,,,,
澄清,攛,,,,,,,
誠,叱,,,,,,,
誠懇,叱罵,,,,,,,
誠樸,叱責,,,,,,,
誠實,嘵,,,,,,,
誠心,呲,,,,,,,
誠心誠意,嘖有煩言,,,,,,,
誠摯,嗔,,,,,,,
誠篤,嗔斥,,,,,,,
承平,嗔怪,,,,,,,
吃得開,嗔怒,,,,,,,
吃香,嗤之以鼻,,,,,,,
持平,嘀咕,,,,,,,
持正不阿,彷,,,,,,,
持之有故,彷徨,,,,,,,
持重,懺,,,,,,,
馳名,懺悔,,,,,,,
馳譽,憮,,,,,,,
赤,慪,,,,,,,
赤忱,慪氣,,,,,,,
赤誠,忡,,,,,,,
赤膽,悵,,,,,,,
赤膽忠心,悵恨,,,,,,,
赤裸,悵然,,,,,,,
赤裸裸,悵然若失,,,,,,,
赤色,悵悵,,,,,,,
赤心,悵惘,,,,,,,
熾盛,愴,,,,,,,
崇高,愴怳,,,,,,,
初生牛犢般,愴恍,,,,,,,
出類拔萃,愴然,,,,,,,
出色,愴惻,,,,,,,
出身高貴,忪,,,,,,,
出身名門,忸,,,,,,,
出神入化,忸怩,,,,,,,
出手不凡,怵,,,,,,,
出手大方,怵然,,,,,,,
出以公心,怵頭,,,,,,,
出眾,怛,,,,,,,
楚楚,怏,,,,,,,
楚楚動人,怏然,,,,,,,
楚楚可憐,怏然不悅,,,,,,,
楚楚可人,怏怏,,,,,,,
傳神,怏怏不樂,,,,,,,
傳統,怍,,,,,,,
窗明几淨,怫,,,,,,,
創造性,怫然,,,,,,,
春光明媚,怫然不悅,,,,,,,
春秋鼎盛,怫然作色,,,,,,,
春秋正富,慟,,,,,,,
春色滿園,惻,,,,,,,
春意融融,惻然,,,,,,,
醇,惻隱,,,,,,,
醇和,恂,,,,,,,
醇厚,悚,,,,,,,
醇美,悚然,,,,,,,
醇濃,悒,,,,,,,
醇樸,悒悶,,,,,,,
醇香,悒鬱,,,,,,,
脣紅齒白,悒鬱寡歡,,,,,,,
淳,悒悒不樂,,,,,,,
淳厚,悛,,,,,,,
淳美,悻然,,,,,,,
淳樸,悻悻,,,,,,,
純,悻悻然,,,,,,,
純粹,惝恍,,,,,,,
純厚,惘,,,,,,,
純潔,惘然,,,,,,,
純淨,惘然若失,,,,,,,
純樸,惆,,,,,,,
純熟,惆悵,,,,,,,
純一,慍,,,,,,,
純真,慍怒,,,,,,,
純正,愕,,,,,,,
純摯,愕然,,,,,,,
純種,愣,,,,,,,
綽約,愣神兒,,,,,,,
綽約多姿,愣怔,,,,,,,
慈,愣怔怔,,,,,,,
慈悲,愣住,,,,,,,
慈悲為懷,惴,,,,,,,
慈善,愀,,,,,,,
慈祥,慊,,,,,,,
瓷實,懍,,,,,,,
刺眼,忝,,,,,,,
聰慧,閔,,,,,,,
聰敏,瀆,,,,,,,
聰明,宥,,,,,,,
聰明過人,騫,,,,,,,
聰明絕頂,嬈,,,,,,,
聰明伶俐,嬉笑怒罵,,,,,,,
聰悟,槁木死灰,,,,,,,
聰穎,殫,,,,,,,
蔥蔥,軫,,,,,,,
蔥茂,戟指,,,,,,,
蔥鬱,靦腆,,,,,,,
蔥蘢,膈應,,,,,,,
從寬,臊,,,,,,,
從輕,恝置,,,,,,,
從權,恚,,,,,,,
從實,恚憤,,,,,,,
從始至終,恚恨,,,,,,,
從頭到底,恚怒,,,,,,,
從頭到尾,恧,,,,,,,
從頭至尾,愍,,,,,,,
從一而終,憝,,,,,,,
粗放,懣,,,,,,,
粗豪,瞠目結舌,,,,,,,
粗實,瞠然,,,,,,,
粗中有細,詈,,,,,,,
粗壯,詈罵,,,,,,,
粗獷,癉,,,,,,,
簇新,竦,,,,,,,
催人奮進,矜,,,,,,,
脆,赧,,,,,,,
脆亮,赧然,,,,,,,
脆美,赧顏,,,,,,,
脆生,踟,,,,,,,
脆響,踟躇,,,,,,,
粹,踟躕,,,,,,,
粹白,踟躕不前,,,,,,,
錯落有致,躕,,,,,,,
達,觖,,,,,,,
達觀,觖望,,,,,,,
打心底裡,訾議,,,,,,,
打心眼兒裡,黯然神傷,,,,,,,
打心眼裡,黯然銷魂,,,,,,,
打眼,僄,,,,,,,
大慈大悲,囉囉唆唆,,,,,,,
大大方方,囉囉嗦嗦,,,,,,,
大膽,囉裡囉唆,,,,,,,
大膽潑辣,囉裡囉嗦,,,,,,,
大度,囉唆,,,,,,,
大而全,囉嗦,,,,,,,
大方,噲,,,,,,,
大功率,奓著頭髮,,,,,,,
大公無私,婞,,,,,,,
大好,婞直,,,,,,,
大紅大紫,崒,,,,,,,
大吉,弇陋,,,,,,,
大吉大利,惛,,,,,,,
大量,惼,,,,,,,
大名鼎鼎,檮昧,,,,,,,
大無畏,獪,,,,,,,
大有文章,哀鴻遍野,,,,,,,
大有希望,矮,,,,,,,
大有益處,礙難,,,,,,,
大有作為,礙眼,,,,,,,
大有裨益,愛搭不理,,,,,,,
帶勁,愛理不理,,,,,,,
帶修辭色彩,暗,,,,,,,
單純,暗暗,,,,,,,
單刀直入,暗沉沉,,,,,,,
單一,暗淡,,,,,,,
膽大,暗地,,,,,,,
淡泊,暗地裡,,,,,,,
淡泊明志,暗黑,,,,,,,
淡泊名利,暗裡,,,,,,,
淡雅,闇昧,,,,,,,
彈性,闇弱,,,,,,,
當,暗無天日,,,,,,,
當紅,暗下,,,,,,,
當面,暗中,,,,,,,
當仁不讓,暗自,,,,,,,
當心,暗朦,,,,,,,
當眾,岸然,,,,,,,
到,骯裡骯髒,,,,,,,
到家,骯髒,,,,,,,
道不拾遺,昂貴,,,,,,,
道道地地,凹凸,,,,,,,
道地,凹凸不平,,,,,,,
得當,傲,,,,,,,
得法,傲岸,,,,,,,
得力,傲慢,,,,,,,
得勢,八面玲瓏,,,,,,,
得體,跋扈,,,,,,,
得天獨厚,霸道,,,,,,,
得心應手,霸氣,,,,,,,
得宜,白,,,,,,,
燈火輝煌,白白,,,,,,,
燈火通明,白痴般,,,,,,,
登峰造極,白搭,,,,,,,
等內,白忙,,,,,,,
低調,白忙活兒,,,,,,,
低價,白衣蒼狗,,,,,,,
低價位,白雲蒼狗,,,,,,,
低廉,百孔千瘡,,,,,,,
低首下心,敗壞,,,,,,,
滴水不漏,稗,,,,,,,
滴水穿石,板板六十四,,,,,,,
地道,板滯,,,,,,,
地地道道,半半拉拉,,,,,,,
地動山搖,半路出家,,,,,,,
地覆天翻,半新不舊,,,,,,,
第一流,半真半假,,,,,,,
典型,薄情,,,,,,,
典型性,薄弱,,,,,,,
典雅,薄倖,,,,,,,
調和,保殘守缺,,,,,,,
調諧,保守,,,,,,,
跌蕩,抱殘守缺,,,,,,,
跌宕,暴,,,,,,,
疊翠,暴烈,,,,,,,
穠,暴虐,,,,,,,
穠豔,暴躁,,,,,,,
丁是丁，卯是卯,暴戾,,,,,,,
頂刮刮,暴戾恣睢,,,,,,,
頂級,爆炸性,,,,,,,
頂尖,悲慘,,,,,,,
頂事,悲觀,,,,,,,
頂數,悲觀地,,,,,,,
頂天立地,悲劇,,,,,,,
頂用,悲涼,,,,,,,
頂呱呱,卑,,,,,,,
鼎鼎大名,卑鄙,,,,,,,
定,卑鄙無恥,,,,,,,
懂禮,卑賤,,,,,,,
懂事,卑劣,,,,,,,
懂行,卑陋,,,,,,,
動平衡,卑怯,,,,,,,
動人,卑俗,,,,,,,
動人心魄,卑瑣,,,,,,,
動人心絃,卑微,,,,,,,
動態各異,卑汙,,,,,,,
動態平衡,卑下,,,,,,,
動聽,卑猥,,,,,,,
斗膽,背地,,,,,,,
豆腐心,背地裡,,,,,,,
逗,背光,,,,,,,
逗人,背後,,,,,,,
獨出心裁,背悔,,,,,,,
獨到,背靜,,,,,,,
獨具慧眼,背靠背,,,,,,,
獨具匠心,背理,,,,,,,
獨具特色,背令,,,,,,,
獨具隻眼,揹人,,,,,,,
度量大,背時,,,,,,,
端,背陰,,,,,,,
端端正正,被動,,,,,,,
端方,被動式,,,,,,,
端靜,被動性,,,,,,,
端麗,本本主義,,,,,,,
端平,笨,,,,,,,
端秀,笨手笨腳,,,,,,,
端雅,笨頭笨腦,,,,,,,
端整,笨重,,,,,,,
端正,笨拙,,,,,,,
端直,比肩接踵,,,,,,,
端重,鄙吝,,,,,,,
端莊,鄙陋,,,,,,,
短平快,鄙俗,,,,,,,
短小精悍,鄙俚,,,,,,,
斷然,蔽塞,,,,,,,
對,閉塞,,,,,,,
對稱,必修,,,,,,,
對號,變化不定,,,,,,,
對勁兒,變化多端,,,,,,,
對頭,變化萬千,,,,,,,
對味兒,變化無常,,,,,,,
墩墩實實,變化無窮,,,,,,,
敦,變幻不定,,,,,,,
敦敦實實,變幻莫測,,,,,,,
敦厚,變幻無常,,,,,,,
敦實,變態,,,,,,,
多才多藝,變相,,,,,,,
